SUDT ACCESSPORT LOG FILE - Monitor mode

Monitor: COM6
Create Time: 2024-10-11, 17:27:34
Computer Name: VICTUS
System version:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

40	17:26:26.589	0.00466260	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
41	17:26:26.589	0.00000220	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 11, Data: 50 03 06 00 00 00 00 00 00 D0 E6 	
42	17:26:26.591	0.00011250	WitMotion.exe	IRP_MJ_WRITE                        	COM6	SUCCESS	Length: 8, Data: 50 03 00 82 00 03 A8 62 	
43	17:26:26.594	0.00000490	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
45	17:26:26.594	0.00000700	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 11, Data: 50 03 06 00 00 00 00 00 00 D0 E6 	
46	17:26:26.599	0.00010980	WitMotion.exe	IRP_MJ_WRITE                        	COM6	SUCCESS	Length: 8, Data: 50 03 00 65 00 01 99 94 	
47	17:26:26.600	0.00000560	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
48	17:26:26.600	0.02534290	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
49	17:26:26.600	0.00000220	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 7, Data: 50 03 02 00 64 44 63 	
50	17:26:26.624	0.00009350	WitMotion.exe	IRP_MJ_WRITE                        	COM6	SUCCESS	Length: 8, Data: 50 03 00 94 00 01 C8 67 	
51	17:26:26.626	0.00000170	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
52	17:26:26.626	0.00793120	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
53	17:26:26.626	0.00000160	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 7, Data: 50 03 02 00 00 45 88 	
54	17:26:26.632	0.00013120	WitMotion.exe	IRP_MJ_WRITE                        	COM6	SUCCESS	Length: 8, Data: 50 03 00 30 00 17 08 4A 	
55	17:26:26.634	0.00000650	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
56	17:26:26.634	0.00207560	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
57	17:26:26.634	0.00000170	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 32, Data: 50 03 2E 0A 18 0E 09 2B 15 00 36 F9 20 02 8E 03 1C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	
58	17:26:26.636	0.00000100	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
59	17:26:26.636	0.00587420	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
60	17:26:26.636	0.00000160	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 19, Data: 00 00 00 08 49 00 00 00 00 00 00 00 00 00 00 00 00 8B E3 	
61	17:26:26.641	0.00013200	WitMotion.exe	IRP_MJ_WRITE                        	COM6	SUCCESS	Length: 8, Data: 50 03 00 30 00 17 08 4A 	
63	17:26:26.642	0.00205940	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
64	17:26:26.642	0.00000150	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 32, Data: 50 03 2E 0A 18 0E 09 2B 15 00 3B F9 17 02 87 03 1F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	
65	17:26:26.644	0.00000360	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
66	17:26:26.644	0.00657310	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
67	17:26:26.644	0.00000140	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 19, Data: 00 00 00 08 30 00 00 00 00 00 00 00 00 00 00 00 00 8F D5 	
68	17:26:26.649	0.00009350	WitMotion.exe	IRP_MJ_WRITE                        	COM6	SUCCESS	Length: 8, Data: 50 03 00 30 00 17 08 4A 	
70	17:26:26.651	0.00205080	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
71	17:26:26.651	0.00000190	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 32, Data: 50 03 2E 0A 18 0E 09 2B 15 00 45 F9 18 02 92 03 19 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	
73	17:26:26.653	0.00845940	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
74	17:26:26.653	0.00000130	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 19, Data: 00 00 00 08 1D 00 00 00 00 00 00 00 00 00 00 00 00 CA 40 	
75	17:26:26.659	0.00011500	WitMotion.exe	IRP_MJ_WRITE                        	COM6	SUCCESS	Length: 8, Data: 50 03 00 30 00 17 08 4A 	
76	17:26:26.662	0.00000190	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
77	17:26:26.662	0.00188360	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
78	17:26:26.662	0.00000180	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 32, Data: 50 03 2E 0A 18 0E 09 2B 15 00 4F F9 26 02 90 03 1B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	
79	17:26:26.663	0.00000140	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
80	17:26:26.663	0.00698890	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
81	17:26:26.663	0.00000160	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 19, Data: 00 00 00 08 36 00 00 00 00 00 00 00 00 00 00 00 00 B4 B1 	
82	17:26:26.668	0.00010920	WitMotion.exe	IRP_MJ_WRITE                        	COM6	SUCCESS	Length: 8, Data: 50 03 00 30 00 17 08 4A 	
84	17:26:26.670	0.00199250	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
85	17:26:26.670	0.00000180	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 32, Data: 50 03 2E 0A 18 0E 09 2B 15 00 59 F9 1A 02 92 03 1D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	
86	17:26:26.672	0.00000180	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
